stadt,bundesland,anteil
Kreuztal,Nordrhein-Westfalen,22.6
Rheinberg,Nordrhein-Westfalen,22.6
Bramsche,Niedersachsen,64.0
Neuruppin,Brandenburg,90.1
Einbeck,Niedersachsen,64.0
Werl,Nordrhein-Westfalen,22.6
Schönebeck,Sachsen-Anhalt,61.5
Burgdorf,Niedersachsen,64.0
Gevelsberg,Nordrhein-Westfalen,22.6
Geesthacht,Schleswig-Holstein,100.0
Haan,Nordrhein-Westfalen,22.6
Lohmar,Nordrhein-Westfalen,22.6
Osterholz-Scharmbeck,Niedersachsen,64.0
Weil am Rhein,Baden-Württemberg,34.0
Ennepetal,Nordrhein-Westfalen,22.6
Riesa,Sachsen,9.0
Taunusstein,Hessen,58.0
Andernach,Rheinland-Pfalz,37.3
Meschede,Nordrhein-Westfalen,22.6
Schwedt (Oder),Brandenburg,90.1
Friedberg,Bayern,60.0
Bad Hersfeld,Hessen,58.0
Gaggenau,Baden-Württemberg,34.0
Merzig,Saarland,20.0
Neuburg,Bayern,60.0
Derne,Nordrhein-Westfalen,22.6
Vaihingen an der Enz,Baden-Württemberg,34.0
Rietberg,Nordrhein-Westfalen,22.6
Saalfeld,Thüringen,63.9
Bretten,Baden-Württemberg,34.0
Waltrop,Nordrhein-Westfalen,22.6
Oelde,Nordrhein-Westfalen,22.6
Tönisvorst,Nordrhein-Westfalen,22.6
Güstrow,Mecklenburg-Vorpommern,100.0
Friedberg,Hessen,58.0
Landsberg,Bayern,60.0
Northeim,Niedersachsen,64.0
Kelkheim (Taunus),Hessen,58.0
Springe,Niedersachsen,64.0
Unterschleißheim,Bayern,60.0
Bühl,Baden-Württemberg,34.0
Schwandorf,Bayern,60.0
Höxter,Nordrhein-Westfalen,22.6
Rösrath,Nordrhein-Westfalen,22.6
Schwelm,Nordrhein-Westfalen,22.6
Rendsburg,Schleswig-Holstein,100.0
Steinheim am Main,Hessen,58.0
Winnenden,Baden-Württemberg,34.0
Idar-Oberstein,Rheinland-Pfalz,37.3
